id,name,image_url,created_at
9aa53b02-946f-4c07-b1ec-4f5f5a9c9673,Botanical Garden,https://world.gowalla.com/tags/botanical_garden--x128.png,2020-11-13T23:59:15.789Z
30044ef3-2f66-4800-b050-0a9ce34c57f0,Boutique,https://world.gowalla.com/tags/boutique--x128.png,2020-11-13T23:59:15.789Z
d7c100bf-f6fb-4696-a110-240cc5c6bfbe,Bowling Alley,https://world.gowalla.com/tags/bowling--x128.png,2020-11-13T23:59:15.789Z
04c157ad-f59b-4b1e-8a7f-37d0df841ebe,Boxing Gym,https://world.gowalla.com/tags/boxing_gym--x128.png,2020-11-13T23:59:15.789Z
560ed784-98cc-4064-a59f-74284ffbbf11,Brazilian Food,,2020-11-13T23:59:15.789Z
0f8d5db2-da11-4afc-abba-d049eb86304e,Breakfast,https://world.gowalla.com/tags/breakfast_1--x128.png,2020-11-13T23:59:15.789Z
0403fec8-016b-4186-aa5c-58d52198b95c,Brewery,https://world.gowalla.com/tags/brewery--x128.png,2020-11-13T23:59:15.789Z
8653b8c9-b6fa-450a-b68e-d0dd2a36184c,Bridge,https://world.gowalla.com/tags/bridge_1--x128.png,2020-11-13T23:59:15.789Z
6c780d36-9ddc-4663-ac24-b9967df327ac,Bubble Tea,https://world.gowalla.com/tags/bubble_tea--x128.png,2020-11-13T23:59:15.789Z
bc534a9f-80e2-44a2-88e7-40f30f9e791a,Buddhist Temple,https://world.gowalla.com/tags/buddhist_temple--x128.png,2020-11-13T23:59:15.789Z
edfbaad5-c994-4fa5-bd5b-2017cd41b3a5,Burgers,https://world.gowalla.com/tags/burgers--x128.png,2020-11-13T23:59:15.789Z
a6652d12-943c-47a1-9045-38cedf5d4feb,Burritos,https://world.gowalla.com/tags/burrito--x128.png,2020-11-13T23:59:15.789Z
29de602e-df1b-4463-ba16-e44fbd0b65e2,Bus Station,,2020-11-13T23:59:15.789Z
d2325f89-0431-42f5-bc15-4084eb395592,Bus Stop,,2020-11-13T23:59:15.789Z
22dbb193-3082-4a81-a146-2fb6e1029f06,Butcher,https://world.gowalla.com/tags/butcher--x128.png,2020-11-13T23:59:15.789Z
82844c8f-1da9-41ef-90d8-6f30bd779e4a,Cable Car,,2020-11-13T23:59:15.789Z
9be15241-ef96-422d-b89b-68eb81a76e2f,Cafe,https://world.gowalla.com/tags/cafe--x128.png,2020-11-13T23:59:15.789Z
96d806d7-a2a8-4ed0-9d1f-09bf7177ad6c,Cafeteria,https://world.gowalla.com/tags/cafeteria--x128.png,2020-11-13T23:59:15.789Z
c5baea6c-d4e9-4915-9d88-ac3aa87e9b09,Cajun Food,https://world.gowalla.com/tags/cajun_food--x128.png,2020-11-13T23:59:15.789Z
fc0ca3aa-9b14-4ed8-a1c3-680cff54ed6b,Campground,https://world.gowalla.com/tags/campground--x128.png,2020-11-13T23:59:15.789Z
0b4fb362-ebe5-4074-88a1-bb41ccc5afb5,Canal,,2020-11-13T23:59:15.789Z
6ad05bde-7b68-46b1-b534-6b1f5a242b9b,Candy Store,https://world.gowalla.com/tags/candy_store--x128.png,2020-11-13T23:59:15.789Z
e3db3dee-b554-4466-a6dd-507245172a7c,Capitol Building,,2020-11-13T23:59:15.789Z
395e2a06-84b0-46ab-ae15-12392ef53c9e,Casino,https://world.gowalla.com/tags/casino--x128.png,2020-11-13T23:59:15.789Z
a4e7b597-cd8c-4d22-a667-c92262dcdf43,Castle,https://world.gowalla.com/tags/castle--x128.png,2020-11-13T23:59:15.789Z
ad2ef6ae-127e-4564-983c-70456167b7bf,Cave,https://world.gowalla.com/tags/cave--x128.png,2020-11-13T23:59:15.789Z
0ac99606-af4a-4192-b40f-e96a7b6b6092,Cemetary,https://world.gowalla.com/tags/cemetery--x128.png,2020-11-13T23:59:15.789Z
a6002795-9c25-4902-aa26-2ab57e8dacaa,Cheese Shop,https://world.gowalla.com/tags/cheese_shop--x128.png,2020-11-13T23:59:15.789Z
